outcome,KE_CyHex,KE_FeO,KE_H70,Q.No_1,Q.No_2,Q.No_3,Q.No_4,Q.No_5,Q.No_6,Q.No_7,Q.No_8,Q.No_9,Q.No_10,Q.No_11,Q.No_12,Q.No_13,Q.No_14,Q.No_15,Q.No_16,Q.No_17,Q.No_18,Q.No_19,Q.No_20,Q.No_21,Q.No_22,Q.No_23,Q.No_24,Q.No_25,Q.No_26,Q.No_27,Q.No_28,Q.No_29,Q.No_30,Mod_Vel_1,Mod_Vel_2,Mod_Vel_3,Mod_Vel_4,Mod_Vel_5,Mod_Vel_6,Mod_Vel_7,Mod_Vel_8,Mod_Vel_9,Mod_Vel_10,Mod_Vel_11,Mod_Vel_12,Mod_Vel_13,Mod_Vel_14,Mod_Vel_15,Mod_Vel_16,Mod_Vel_17,Mod_Vel_18,Mod_Vel_19,Mod_Vel_20,Mod_Vel_21,Mod_Vel_22,Mod_Vel_23,Mod_Vel_24,Mod_Vel_25,Mod_Vel_26,Mod_Vel_27,Mod_Vel_28,Mod_Vel_29,Mod_Vel_30,Mod_Ener_1,Mod_Ener_2,Mod_Ener_3,Mod_Ener_4,Mod_Ener_5,Mod_Ener_6,Mod_Ener_7,Mod_Ener_8,Mod_Ener_9,Mod_Ener_10,Mod_Ener_11,Mod_Ener_12,Mod_Ener_13,Mod_Ener_14,Mod_Ener_15,Mod_Ener_16,Mod_Ener_17,Mod_Ener_18,Mod_Ener_19,Mod_Ener_20,Mod_Ener_21,Mod_Ener_22,Mod_Ener_23,Mod_Ener_24,Mod_Ener_25,Mod_Ener_26,Mod_Ener_27,Mod_Ener_28,Mod_Ener_29,Mod_Ener_30
0,97.04760287,310.4471349,8.305618489,6,0,25,2,7,1,0,1,0,6,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-4.35E+02,2.03E+02,-1.49E+03,4.86E+02,-9.11E+02,4.70E+02,4.06E+02,-6.04E+02,-3.31E+02,1.41E+03,1.23E+03,4.88E+02,1.16E+03,4.38E+02,4.34E+02,5.08E+02,-4.86E+02,-5.53E+02,-6.22E+02,6.10E+02,-6.69E+02,5.35E+02,7.17E+02,6.45E+02,-5.17E+02,-1.25E+03,-4.65E+02,6.87E+02,-1.25E+03,4.94E+02,0.03431,0.025129,1.340978,0.137999,0.543494,0.126401,0.062136,0.196104,0.074952,1.168479,1.093576,0.118239,0.624465,0.149841,0.156003,0.178925,0.185461,0.201374,0.213875,0.227523,0.235616,0.246148,0.272052,0.276581,0.292681,0.894454,0.308636,0.333339,0.337582,0.355769
0,100.0453173,312.3216003,2.758198766,40,0,26,7,0,4,2,2,0,1,0,3,1,1,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-1.12E+03,2.03E+02,-1.52E+03,-8.41E+02,-2.35E+02,-8.14E+02,-9.09E+02,-7.79E+02,-3.31E+02,6.78E+02,3.72E+02,-1.29E+03,-8.98E+02,-7.59E+02,-9.71E+02,-1.14E+03,-4.86E+02,5.53E+02,-6.22E+02,6.10E+02,-6.69E+02,5.35E+02,-7.17E+02,6.45E+02,5.17E+02,1.25E+03,4.65E+02,6.87E+02,-1.25E+03,-4.94E+02,0.228731,0.025129,1.393565,0.413996,0.036233,0.379203,0.310681,0.326839,0.074952,0.269649,0.099416,0.827671,0.374679,0.449523,0.780015,0.894627,0.185461,0.201374,0.213875,0.227523,0.235616,0.246148,0.272052,0.276581,0.292681,0.894454,0.308636,0.333339,0.337582,0.355769
0,100.4735509,313.2700431,3.393492249,46,9,12,4,7,8,0,3,2,0,1,0,1,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,-1.21E+03,-8.83E+02,1.05E+03,-6.52E+02,-9.11E+02,-1.12E+03,-4.06E+02,9.22E+02,7.39E+02,3.91E+02,-6.44E+02,4.88E+02,-8.98E+02,-7.59E+02,4.34E+02,-5.08E+02,8.42E+02,5.53E+02,-6.22E+02,-1.06E+03,-1.16E+03,-5.35E+02,7.17E+02,6.45E+02,-8.96E+02,7.23E+02,4.65E+02,-6.87E+02,2.17E+03,-4.94E+02,0.263041,0.477443,0.657342,0.248398,0.543494,0.716272,0.062136,0.457575,0.374762,0.089883,0.298248,0.118239,0.374679,0.449523,0.156003,0.178925,0.556384,0.201374,0.213875,0.682568,0.706848,0.246148,0.272052,0.276581,0.878042,0.298151,0.308636,0.333339,1.012746,0.355769
0,106.2908489,309.4106724,2.326583694,39,48,21,12,2,6,5,0,0,1,0,1,0,1,2,2,5,0,0,0,0,0,0,0,0,0,0,1,1,1,-1.11E+03,-1.99E+03,-1.37E+03,-1.09E+03,5.26E+02,9.78E+02,1.35E+03,-3.48E+02,3.31E+02,-6.78E+02,3.72E+02,-8.45E+02,-5.18E+02,7.59E+02,9.71E+02,-1.14E+03,-1.61E+03,5.53E+02,6.22E+02,6.10E+02,6.69E+02,5.35E+02,-7.17E+02,-6.45E+02,-5.17E+02,7.23E+02,4.65E+02,-1.19E+03,2.17E+03,8.56E+02,0.223013,2.437473,1.130628,0.689994,0.181165,0.547737,0.683498,0.065368,0.074952,0.269649,0.099416,0.354716,0.124893,0.449523,0.780015,0.894627,2.040076,0.201374,0.213875,0.227523,0.235616,0.246148,0.272052,0.276581,0.292681,0.298151,0.308636,1.000018,1.012746,1.067306
0,101.0451905,317.2669765,1.650577158,65,0,17,5,3,10,4,1,0,1,0,0,0,1,3,1,1,0,0,1,0,0,0,1,0,1,0,3,2,1,-1.43E+03,-2.03E+02,-1.24E+03,-7.20E+02,-6.23E+02,-1.24E+03,-1.22E+03,-6.04E+02,3.31E+02,-6.78E+02,-3.72E+02,-4.88E+02,-5.18E+02,7.59E+02,-1.15E+03,-8.80E+02,8.42E+02,-5.53E+02,6.22E+02,1.06E+03,6.69E+02,-5.35E+02,7.17E+02,-1.12E+03,5.17E+02,-1.25E+03,4.65E+02,1.82E+03,-2.80E+03,-8.56E+02,0.371689,0.025129,0.920279,0.303597,0.25363,0.884806,0.559226,0.196104,0.074952,0.269649,0.099416,0.118239,0.124893,0.449523,1.092021,0.536776,0.556384,0.201374,0.213875,0.682568,0.235616,0.246148,0.272052,0.829742,0.292681,0.894454,0.308636,2.333376,1.68791,1.067306
0,104.5626328,310.4425545,3.074538089,15,6,0,6,1,10,7,3,3,0,1,2,1,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,-6.88E+02,7.30E+02,2.09E+02,-7.83E+02,-4.08E+02,1.24E+03,1.57E+03,9.22E+02,8.75E+02,-3.91E+02,-6.44E+02,-1.09E+03,-8.98E+02,4.38E+02,-4.34E+02,5.08E+02,-4.86E+02,-5.53E+02,-2.24E+03,6.10E+02,6.69E+02,5.35E+02,7.17E+02,6.45E+02,8.96E+02,-7.23E+02,-4.65E+02,-6.87E+02,1.25E+03,4.94E+02,0.085774,0.326672,0.026294,0.358797,0.108699,0.884806,0.932043,0.457575,0.524667,0.089883,0.298248,0.591194,0.374679,0.149841,0.156003,0.178925,0.185461,0.201374,2.780372,0.227523,0.235616,0.246148,0.272052,0.276581,0.878042,0.298151,0.308636,0.333339,0.337582,0.355769
0,104.8309122,315.6906433,1.901925012,289,1,1,2,15,1,10,1,0,7,0,1,1,1,1,1,0,2,0,0,1,1,3,0,1,0,0,0,2,1,-3.02E+03,-3.51E+02,-3.62E+02,4.86E+02,-1.31E+03,4.70E+02,-1.86E+03,-6.04E+02,3.31E+02,-1.52E+03,-3.72E+02,8.45E+02,8.98E+02,7.59E+02,7.52E+02,8.80E+02,4.86E+02,-1.24E+03,-6.22E+02,6.10E+02,-1.16E+03,9.26E+02,-1.90E+03,-6.45E+02,8.96E+02,-7.23E+02,-4.65E+02,-6.87E+02,-2.80E+03,-8.56E+02,1.652585,0.075386,0.078881,0.137999,1.123221,0.126401,1.30486,0.196104,0.074952,1.348246,0.099416,0.354716,0.374679,0.449523,0.468009,0.536776,0.185461,1.006872,0.213875,0.227523,0.706848,0.738443,1.904363,0.276581,0.878042,0.298151,0.308636,0.333339,1.68791,1.067306
0,104.0608981,310.4725546,1.04901308,283,2,6,1,7,5,0,4,1,6,0,0,0,2,0,4,2,0,0,0,0,0,0,0,0,0,0,1,0,0,-2.99E+03,-4.53E+02,-7.54E+02,3.76E+02,9.11E+02,9.00E+02,4.06E+02,-1.05E+03,5.73E+02,1.41E+03,3.72E+02,4.88E+02,-5.18E+02,9.80E+02,-4.34E+02,1.52E+03,-1.09E+03,-5.53E+02,6.22E+02,-6.10E+02,-6.69E+02,-5.35E+02,7.17E+02,-6.45E+02,5.17E+02,7.23E+02,-4.65E+02,1.19E+03,1.25E+03,-4.94E+02,1.618275,0.125643,0.341818,0.082799,0.543494,0.46347,0.062136,0.588311,0.224857,1.168479,0.099416,0.118239,0.124893,0.749205,0.156003,1.610328,0.927307,0.201374,0.213875,0.227523,0.235616,0.246148,0.272052,0.276581,0.292681,0.298151,0.308636,1.000018,0.337582,0.355769
0,104.162533,311.531834,1.870385084,25,2,1,9,12,22,3,0,2,1,1,1,4,1,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-8.88E+02,4.53E+02,-3.62E+02,9.47E+02,1.18E+03,1.82E+03,1.08E+03,3.48E+02,7.39E+02,-6.78E+02,6.44E+02,-8.45E+02,-1.56E+03,-7.59E+02,-9.71E+02,-8.80E+02,-4.86E+02,5.53E+02,6.22E+02,6.10E+02,6.69E+02,-5.35E+02,7.17E+02,6.45E+02,8.96E+02,7.23E+02,-4.65E+02,-6.87E+02,1.25E+03,4.94E+02,0.142957,0.125643,0.078881,0.524395,0.905823,1.896013,0.434953,0.065368,0.374762,0.269649,0.298248,0.354716,1.124037,0.449523,0.780015,0.536776,0.185461,0.201374,0.213875,0.227523,0.235616,0.246148,0.272052,0.276581,0.878042,0.298151,0.308636,0.333339,0.337582,0.355769
0,101.40841,319.6868941,0.274575486,60,3,5,5,6,11,4,2,0,0,1,3,2,1,2,1,1,0,2,0,3,3,0,0,0,0,0,0,0,0,-1.38E+03,5.36E+02,6.93E+02,7.20E+02,-8.49E+02,-1.30E+03,-1.22E+03,7.79E+02,-3.31E+02,-3.91E+02,6.44E+02,-1.29E+03,-1.16E+03,7.59E+02,9.71E+02,-8.80E+02,8.42E+02,5.53E+02,1.39E+03,-6.10E+02,-1.77E+03,1.41E+03,7.17E+02,-6.45E+02,-5.17E+02,-7.23E+02,4.65E+02,6.87E+02,-1.25E+03,-4.94E+02,0.343097,0.1759,0.289231,0.303597,0.471028,0.969073,0.559226,0.326839,0.074952,0.089883,0.298248,0.827671,0.624465,0.449523,0.780015,0.536776,0.556384,0.201374,1.069374,0.227523,1.649311,1.723034,0.272052,0.276581,0.292681,0.298151,0.308636,0.333339,0.337582,0.355769
